Term	Grupo
organic acid transport	CM exclusivo
midbrain development	CM exclusivo
heterochromatin formation	CM exclusivo
cranial nerve development	CM exclusivo
melanosome transport	CM exclusivo
response to potassium ion	CM exclusivo
genomic imprinting	CM exclusivo
ubiquinone biosynthetic process	CM exclusivo
regulation of sister chromatid cohesion	CM exclusivo
tRNA decay	CM exclusivo
heparin proteoglycan metabolic process	CM exclusivo
locomotory exploration behavior	CM exclusivo
negative regulation of glial cell proliferation	CM exclusivo
quinone biosynthetic process	CM exclusivo
protein autophosphorylation	CM exclusivo
positive regulation of chromosome organization	CM exclusivo
purine nucleoside diphosphate metabolic process	CM exclusivo
purine ribonucleoside diphosphate metabolic process	CM exclusivo
regulation of DNA-templated transcription initiation	CM exclusivo
gamma-aminobutyric acid signaling pathway	CM exclusivo
respiratory chain complex IV assembly	CM exclusivo
cardiac ventricle morphogenesis	CM exclusivo
spindle assembly	CM exclusivo
cardiac muscle cell differentiation	CM exclusivo
transcription-coupled nucleotide-excision repair	CM exclusivo
pyruvate family amino acid catabolic process	CM exclusivo
neuronal action potential propagation	CM exclusivo
GDP-mannose metabolic process	CM exclusivo
sebaceous gland development	CM exclusivo
epithelial cell proliferation involved in lung morphogenesis	CM exclusivo
mitochondrial RNA modification	CM exclusivo
regulation of cellular pH	CM exclusivo
proteinogenic amino acid catabolic process	CM exclusivo
hepaticobiliary system development	CM exclusivo
insulin secretion	CM exclusivo
cell volume homeostasis	CM exclusivo
regulation of mitochondrial gene expression	CM exclusivo
regulation of peptidyl-serine phosphorylation	CM exclusivo
membrane fission	CM exclusivo
postsynaptic membrane organization	CM exclusivo
amine biosynthetic process	CM exclusivo
Golgi organization	CM exclusivo
membrane docking	CM exclusivo
skeletal muscle adaptation	CM exclusivo
ceramide catabolic process	CM exclusivo
regulation of protein import into nucleus	CM exclusivo
regulation of vacuole organization	CM exclusivo
L-amino acid transport	CM exclusivo
cholesterol metabolic process	CM exclusivo
hormone transport	CM exclusivo
response to endoplasmic reticulum stress	CM exclusivo
response to UV	CM exclusivo
vitamin biosynthetic process	CM exclusivo
chondroitin sulfate metabolic process	CM exclusivo
establishment of melanosome localization	CM exclusivo
sympathetic nervous system development	CM exclusivo
pigment granule transport	CM exclusivo
lysosomal protein catabolic process	CM exclusivo
somatic diversification of immune receptors via somatic mutation	CM exclusivo
ventricular trabecula myocardium morphogenesis	CM exclusivo
pyruvate decarboxylation to acetyl-CoA	CM exclusivo
GMP biosynthetic process	CM exclusivo
mechanosensory behavior	CM exclusivo
regulation of skeletal muscle adaptation	CM exclusivo
random inactivation of X chromosome	CM exclusivo
lactone metabolic process	CM exclusivo
negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	CM exclusivo
anterograde axonal transport	CM exclusivo
intracellular lipid transport	CM exclusivo
regulation of intracellular pH	CM exclusivo
mitochondrial membrane organization	CM exclusivo
regulation of canonical Wnt signaling pathway	CM exclusivo
energy reserve metabolic process	CM exclusivo
negative regulation of neuron differentiation	CM exclusivo
regulation of transcription initiation by RNA polymerase II	CM exclusivo
muscle tissue morphogenesis	CM exclusivo
negative regulation of gliogenesis	CM exclusivo
retinal rod cell differentiation	CM exclusivo
L-glutamate import across plasma membrane	CM exclusivo
positive regulation of neuron migration	CM exclusivo
telomere maintenance via telomerase	CM exclusivo
cellular response to peptide hormone stimulus	CM exclusivo
cellular response to starvation	CM exclusivo
embryonic epithelial tube formation	CM exclusivo
regulation of telomere maintenance via telomere lengthening	CM exclusivo
cell maturation	CM exclusivo
polysaccharide biosynthetic process	CM exclusivo
exocytic process	CM exclusivo
positive regulation of mesenchymal cell proliferation	CM exclusivo
regulation of mitochondrial translation	CM exclusivo
cellular response to radiation	CM exclusivo
reproductive structure development	CM exclusivo
regulation of protein transport	CM exclusivo
positive regulation of axonogenesis	CM exclusivo
regulation of transmembrane transport	CM exclusivo
endocardial cushion development	CM exclusivo
endodermal cell differentiation	CM exclusivo
regulation of cellular respiration	CM exclusivo
amino acid import across plasma membrane	CM exclusivo
positive regulation of cell growth	CM exclusivo
cardiocyte differentiation	CM exclusivo
positive regulation of phosphorus metabolic process	CM exclusivo
positive regulation of phosphate metabolic process	CM exclusivo
glial cell migration	CM exclusivo
protein depolymerization	CM exclusivo
protein targeting to vacuole	CM exclusivo
regulation of myelination	CM exclusivo
positive regulation of mitotic nuclear division	CM exclusivo
axon extension	CM exclusivo
purine nucleoside monophosphate metabolic process	CM exclusivo
regulation of amino acid transport	CM exclusivo
transition metal ion transport	CM exclusivo
positive regulation of ATP metabolic process	CM exclusivo
small GTPase-mediated signal transduction	CM exclusivo
negative regulation of supramolecular fiber organization	CM exclusivo
thyroid hormone generation	CM exclusivo
regulation of amine metabolic process	CM exclusivo
establishment of pigment granule localization	CM exclusivo
positive regulation of amino acid transport	CM exclusivo
dendritic spine maintenance	CM exclusivo
positive regulation of long-term synaptic potentiation	CM exclusivo
[2Fe-2S] cluster assembly	CM exclusivo
bronchus development	CM exclusivo
positive regulation of phosphorylation	CM exclusivo
telomere maintenance via telomere lengthening	CM exclusivo
cranial skeletal system development	CM exclusivo
organelle fusion	CM exclusivo
carbohydrate biosynthetic process	CM exclusivo
regulation of mitochondrion organization	CM exclusivo
peptidyl-threonine modification	CM exclusivo
muscle organ morphogenesis	CM exclusivo
oligosaccharide metabolic process	CM exclusivo
metanephros development	CM exclusivo
regulation of protein depolymerization	CM exclusivo
dendritic spine development	CM exclusivo
ubiquinone metabolic process	CM exclusivo
chondroitin sulfate biosynthetic process	CM exclusivo
regulation of amyloid fibril formation	CM exclusivo
regulation of cell growth	CM exclusivo
regulation of protein-containing complex disassembly	CM exclusivo
mitochondrial transcription	CM exclusivo
erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process	CM exclusivo
regulation of amino acid metabolic process	CM exclusivo
regulation of telomere maintenance via telomerase	CM exclusivo
regulation of long-term synaptic potentiation	CM exclusivo
regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	CM exclusivo
negative regulation of cytoskeleton organization	CM exclusivo
positive regulation of secretion by cell	CM exclusivo
reproductive system development	CM exclusivo
ribonucleoside monophosphate metabolic process	CM exclusivo
regulation of muscle system process	CM exclusivo
nucleoside monophosphate biosynthetic process	CM exclusivo
regulation of post-transcriptional gene silencing	CM exclusivo
camera-type eye photoreceptor cell differentiation	CM exclusivo
nucleocytoplasmic transport	CM exclusivo
nuclear transport	CM exclusivo
protein localization to vacuole	CM exclusivo
ureteric bud development	CM exclusivo
response to amino acid	CM exclusivo
myeloid leukocyte differentiation	CM exclusivo
catecholamine transport	CM exclusivo
sulfur compound transport	CM exclusivo
establishment of protein localization to vacuole	CM exclusivo
positive regulation of protein transport	CM exclusivo
methylation	CM exclusivo
intracellular calcium ion homeostasis	CM exclusivo
peptidyl-threonine phosphorylation	CM exclusivo
cell differentiation in hindbrain	CM exclusivo
melanocyte differentiation	CM exclusivo
positive regulation of monooxygenase activity	CM exclusivo
regulation of respiratory gaseous exchange	CM exclusivo
negative regulation of Ras protein signal transduction	CM exclusivo
phosphatidylinositol-mediated signaling	CM exclusivo
chondroitin sulfate proteoglycan biosynthetic process	CM exclusivo
regulation of chromatin organization	CM exclusivo
positive regulation of supramolecular fiber organization	CM exclusivo
response to epidermal growth factor	CM exclusivo
negative regulation of reactive oxygen species metabolic process	CM exclusivo
nucleoside monophosphate metabolic process	CM exclusivo
positive regulation of epithelial to mesenchymal transition	CM exclusivo
positive regulation of protein phosphorylation	CM exclusivo
response to activity	CM exclusivo
glycosaminoglycan metabolic process	CM exclusivo
mesonephric epithelium development	CM exclusivo
mesonephric tubule development	CM exclusivo
glucan metabolic process	CM exclusivo
behavioral defense response	CM exclusivo
calcium ion import across plasma membrane	CM exclusivo
calcium ion import into cytosol	CM exclusivo
response to X-ray	CM exclusivo
thyroid hormone metabolic process	CM exclusivo
lung cell differentiation	CM exclusivo
lung epithelial cell differentiation	CM exclusivo
cellular response to gamma radiation	CM exclusivo
regulation of synaptic vesicle recycling	CM exclusivo
regulation of protein secretion	CM exclusivo
positive regulation of Wnt signaling pathway	CM exclusivo
postsynaptic specialization organization	CM exclusivo
nucleobase metabolic process	CM exclusivo
regulation of intracellular estrogen receptor signaling pathway	CM exclusivo
mitochondrion distribution	CM exclusivo
GABAergic neuron differentiation	CM exclusivo
negative regulation of reactive oxygen species biosynthetic process	CM exclusivo
liver development	CM exclusivo
respiratory gaseous exchange by respiratory system	CM exclusivo
receptor localization to synapse	CM exclusivo
regulation of stem cell differentiation	CM exclusivo
regulation of fibroblast proliferation	CM exclusivo
regulation of protein polymerization	CM exclusivo
receptor clustering	CM exclusivo
adipose tissue development	CM exclusivo
epithelial cell differentiation involved in kidney development	CM exclusivo
urea cycle	CM exclusivo
peroxisome fission	CM exclusivo
phosphate ion transmembrane transport	CM exclusivo
cellular response to increased oxygen levels	CM exclusivo
neuronal ion channel clustering	CM exclusivo
positive regulation of cell size	CM exclusivo
enteric nervous system development	CM exclusivo
skeletal muscle tissue growth	CM exclusivo
dopamine uptake involved in synaptic transmission	CM exclusivo
catecholamine uptake involved in synaptic transmission	CM exclusivo
positive regulation of post-transcriptional gene silencing	CM exclusivo
centromeric sister chromatid cohesion	CM exclusivo
skeletal muscle fiber differentiation	CM exclusivo
excitatory chemical synaptic transmission	CM exclusivo
positive regulation of post-transcriptional gene silencing by RNA	CM exclusivo
positive regulation of miRNA-mediated gene silencing	CM exclusivo
positive regulation of sodium ion transmembrane transporter activity	CM exclusivo
response to insulin	CM exclusivo
glutamine family amino acid biosynthetic process	CM exclusivo
adenohypophysis development	CM exclusivo
regulation of respiratory system process	CM exclusivo
short-chain fatty acid metabolic process	CM exclusivo
organelle inheritance	CM exclusivo
Golgi inheritance	CM exclusivo
seminiferous tubule development	CM exclusivo
sex differentiation	CM exclusivo
amino acid transmembrane transport	CM exclusivo
aortic valve development	CM exclusivo
positive regulation of glial cell differentiation	CM exclusivo
positive regulation of gliogenesis	CM exclusivo
glomerulus development	CM exclusivo
regulation of intracellular steroid hormone receptor signaling pathway	CM exclusivo
N-terminal protein amino acid modification	CM exclusivo
organelle localization by membrane tethering	CM exclusivo
purine ribonucleoside monophosphate metabolic process	CM exclusivo
synapse maturation	CM exclusivo
hematopoietic progenitor cell differentiation	CM exclusivo
fibroblast growth factor receptor signaling pathway	CM exclusivo
sterol metabolic process	CM exclusivo
mitochondrial genome maintenance	CM exclusivo
regulation of mitochondrial fission	CM exclusivo
regulation of postsynapse organization	CM exclusivo
porphyrin-containing compound biosynthetic process	CM exclusivo
ribonucleoside monophosphate biosynthetic process	CM exclusivo
tetrapyrrole biosynthetic process	CM exclusivo
pigment cell differentiation	CM exclusivo
regulation of aerobic respiration	CM exclusivo
polyol biosynthetic process	CM exclusivo
positive regulation of MAPK cascade	CM exclusivo
fibroblast proliferation	CM exclusivo
actomyosin structure organization	CM exclusivo
regulation of organelle assembly	CM exclusivo
L-alpha-amino acid transmembrane transport	CM exclusivo
negative regulation of proteolysis involved in protein catabolic process	CM exclusivo
response to lead ion	CM exclusivo
positive regulation of mitochondrial fission	CM exclusivo
striated muscle adaptation	CM exclusivo
response to cocaine	CM exclusivo
pigment biosynthetic process	CM exclusivo
intracellular pH reduction	CM exclusivo
respiratory system process	CM exclusivo
telomere organization	CM exclusivo
transcription initiation at RNA polymerase II promoter	CM exclusivo
positive regulation of secretion	CM exclusivo
positive regulation of autophagy	CM exclusivo
response to ionizing radiation	CM exclusivo
regulation of protein stability	CM exclusivo
mesonephros development	CM exclusivo
nuclear receptor-mediated signaling pathway	CM exclusivo
aromatic amino acid metabolic process	CM exclusivo
fatty-acyl-CoA metabolic process	CM exclusivo
positive regulation of nucleotide metabolic process	CM exclusivo
dopaminergic neuron differentiation	CM exclusivo
positive regulation of purine nucleotide metabolic process	CM exclusivo
RNA-templated DNA biosynthetic process	CM exclusivo
vasodilation	CM exclusivo
outflow tract septum morphogenesis	CM exclusivo
mitotic recombination	CM exclusivo
protein catabolic process in the vacuole	CM exclusivo
secretory granule localization	CM exclusivo
secondary palate development	CM exclusivo
regulation of synapse maturation	CM exclusivo
regulation of protein localization to plasma membrane	CM exclusivo
ventricular septum development	CM exclusivo
glycogen metabolic process	CM exclusivo
vacuolar acidification	CM exclusivo
forebrain neuron development	CM exclusivo
synaptic vesicle membrane organization	CM exclusivo
positive regulation of synaptic transmission, glutamatergic	CM exclusivo
neuron projection arborization	CM exclusivo
regulation of response to oxidative stress	CM exclusivo
regulation of peptide hormone secretion	CM exclusivo
synaptic transmission, dopaminergic	CM exclusivo
heme biosynthetic process	CM exclusivo
neuromuscular synaptic transmission	CM exclusivo
positive regulation of multicellular organism growth	CM exclusivo
cell-cell signaling involved in cardiac conduction	CM exclusivo
response to manganese ion	CM exclusivo
cell migration in hindbrain	CM exclusivo
cardiolipin metabolic process	CM exclusivo
anatomical structure arrangement	CM exclusivo
meiotic sister chromatid cohesion	CM exclusivo
replicative senescence	CM exclusivo
regulation of carbohydrate metabolic process	CM exclusivo
iron ion transport	CM exclusivo
nuclear envelope organization	CM exclusivo
regulation of actin filament organization	CM exclusivo
RNA modification	CM exclusivo
ventricular cardiac muscle tissue morphogenesis	CM exclusivo
regulation of reactive oxygen species biosynthetic process	CM exclusivo
regulation of respiratory gaseous exchange by nervous system process	CM exclusivo
galactose metabolic process	CM exclusivo
pyruvate family amino acid metabolic process	CM exclusivo
somatic hypermutation of immunoglobulin genes	CM exclusivo
thalamus development	CM exclusivo
maintenance of sister chromatid cohesion	CM exclusivo
maintenance of mitotic sister chromatid cohesion	CM exclusivo
atrioventricular canal development	CM exclusivo
positive regulation of astrocyte differentiation	CM exclusivo
regulation of resting membrane potential	CM exclusivo
prepulse inhibition	CM exclusivo
Golgi lumen acidification	CM exclusivo
regulation of lysosome organization	CM exclusivo
myeloid cell differentiation	CM exclusivo
regulation of postsynaptic membrane neurotransmitter receptor levels	CM exclusivo
response to vitamin	CM exclusivo
regulation of protein catabolic process	CM exclusivo
vesicle budding from membrane	CM exclusivo
vascular transport	CM exclusivo
protein localization to synapse	CM exclusivo
transport across blood-brain barrier	CM exclusivo
regulation of miRNA transcription	CM exclusivo
nephron morphogenesis	CM exclusivo
regulation of glial cell proliferation	CM exclusivo
positive regulation of SMAD protein signal transduction	CM exclusivo
ER-nucleus signaling pathway	CM exclusivo
cellular response to oxygen levels	CM exclusivo
meiotic spindle organization	CM exclusivo
mitochondrial DNA metabolic process	CM exclusivo
negative regulation of telomere maintenance via telomerase	CM exclusivo
cell proliferation involved in kidney development	CM exclusivo
quinone metabolic process	CM exclusivo
organic cation transport	CM exclusivo
osteoblast differentiation	CM exclusivo
negative regulation of carbohydrate metabolic process	CM exclusivo
response to pain	CM exclusivo
transepithelial transport	CM exclusivo
dendrite extension	CM exclusivo
morphogenesis of an epithelial sheet	CM exclusivo
regulation of microtubule polymerization	CM exclusivo
regulation of peptide secretion	CM exclusivo
folic acid-containing compound metabolic process	CM exclusivo
hyperosmotic response	CM exclusivo
GMP metabolic process	CM exclusivo
vesicle tethering	CM exclusivo
regulation of post-transcriptional gene silencing by regulatory ncRNA	CM exclusivo
developmental pigmentation	CM exclusivo
positive regulation of intracellular transport	CM exclusivo
monoamine transport	CM exclusivo
miRNA transcription	CM exclusivo
L-amino acid catabolic process	CM exclusivo
regulated exocytosis	CM exclusivo
DNA-templated transcription elongation	CM exclusivo
porphyrin-containing compound metabolic process	CM exclusivo
regulation of insulin secretion	CM exclusivo
mitophagy	CM exclusivo
behavioral fear response	CM exclusivo
positive regulation of neurotransmitter secretion	CM exclusivo
axonal transport of mitochondrion	CM exclusivo
spinal cord patterning	CM exclusivo
IMP metabolic process	CM exclusivo
tetrahydrofolate metabolic process	CM exclusivo
cell proliferation involved in heart morphogenesis	CM exclusivo
ureter development	CM exclusivo
neurotransmitter-gated ion channel clustering	CM exclusivo
regulation of cell proliferation involved in heart morphogenesis	CM exclusivo
vesicle fusion	CM exclusivo
negative regulation of cell projection organization	CM exclusivo
cardiac muscle tissue morphogenesis	CM exclusivo
myeloid cell development	CM exclusivo
vasculogenesis	CM exclusivo
transcription by RNA polymerase III	CM exclusivo
regulation of peptide transport	CM exclusivo
somatic diversification of immune receptors	CM exclusivo
nephron tubule morphogenesis	CM exclusivo
organelle disassembly	CM exclusivo
cellular response to light stimulus	CM exclusivo
DNA biosynthetic process	CM exclusivo
positive regulation of microtubule polymerization or depolymerization	CM exclusivo
positive regulation of protein-containing complex disassembly	CM exclusivo
response to antibiotic	CM exclusivo
lens fiber cell differentiation	CM exclusivo
cellular response to transforming growth factor beta stimulus	CM exclusivo
regulation of Ras protein signal transduction	CM exclusivo
digestive tract morphogenesis	CM exclusivo
catecholamine secretion	CM exclusivo
telomere maintenance	CM exclusivo
positive regulation of canonical Wnt signaling pathway	CM exclusivo
cardiac conduction	CM exclusivo
regeneration	CM exclusivo
dense core granule localization	CM exclusivo
phosphatidylinositol-3-phosphate biosynthetic process	CM exclusivo
response to salt	CM exclusivo
response to nutrient	CM exclusivo
regulation of synapse assembly	CM exclusivo
regulation of superoxide metabolic process	CM exclusivo
postsynaptic modulation of chemical synaptic transmission	CM exclusivo
urea metabolic process	CM exclusivo
regulation of SNARE complex assembly	CM exclusivo
regulation of dendritic spine maintenance	CM exclusivo
regulation of telomere capping	CM exclusivo
cellular response to reactive oxygen species	CM exclusivo
response to gamma radiation	CM exclusivo
proline metabolic process	CM exclusivo
neurofilament cytoskeleton organization	CM exclusivo
regulation of ER to Golgi vesicle-mediated transport	CM exclusivo
RISC complex assembly	CM exclusivo
cellular response to manganese ion	CM exclusivo
otic vesicle morphogenesis	CM exclusivo
positive regulation of transcription of nucleolar large rRNA by RNA polymerase I	CM exclusivo
positive regulation of extrinsic apoptotic signaling pathway in absence of ligand	CM exclusivo
cellular response to UV	CM exclusivo
insulin receptor signaling pathway	CM exclusivo
endocardial cushion formation	CM exclusivo
establishment of mitochondrion localization, microtubule-mediated	CM exclusivo
fatty-acyl-CoA biosynthetic process	CM exclusivo
mitochondrion transport along microtubule	CM exclusivo
miRNA metabolic process	CM exclusivo
response to osmotic stress	CM exclusivo
positive regulation of muscle cell differentiation	CM exclusivo
branching involved in ureteric bud morphogenesis	CM exclusivo
endoderm formation	CM exclusivo
dopamine transport	CM exclusivo
negative regulation of microtubule polymerization or depolymerization	CM exclusivo
maintenance of protein localization in organelle	CM exclusivo
cholesterol biosynthetic process	CM exclusivo
cellular response to heat	CM exclusivo
secondary alcohol biosynthetic process	CM exclusivo
DNA-templated transcription initiation	CM exclusivo
organelle membrane fusion	CM exclusivo
mitotic cytokinesis	CM exclusivo
temperature homeostasis	CM exclusivo
mammary gland development	CM exclusivo
vesicle transport along microtubule	CM exclusivo
post-Golgi vesicle-mediated transport	CM exclusivo
primary neural tube formation	CM exclusivo
regulation of miRNA metabolic process	CM exclusivo
aortic valve morphogenesis	CM exclusivo
negative regulation of ubiquitin-dependent protein catabolic process	CM exclusivo
endoplasmic reticulum to Golgi vesicle-mediated transport	CM exclusivo
negative regulation of neuron projection development	CM exclusivo
protein localization to chromosome	CM exclusivo
regulation of glial cell differentiation	CM exclusivo
nephron epithelium morphogenesis	CM exclusivo
positive regulation of nuclear division	CM exclusivo
vesicle cytoskeletal trafficking	CM exclusivo
regulation of hormone secretion	CM exclusivo
asymmetric cell division	CM exclusivo
regulation of skeletal muscle contraction	CM exclusivo
response to magnesium ion	CM exclusivo
osteoclast development	CM exclusivo
regulation of odontogenesis	CM exclusivo
parasympathetic nervous system development	CM exclusivo
pericardium development	CM exclusivo
catecholamine uptake	CM exclusivo
bone cell development	CM exclusivo
glutamatergic neuron differentiation	CM exclusivo
ureteric bud morphogenesis	CM exclusivo
regulation of extent of cell growth	CM exclusivo
glutamate metabolic process	CM exclusivo
regulation of astrocyte differentiation	CM exclusivo
establishment of mitochondrion localization	CM exclusivo
regulation of gene silencing by regulatory ncRNA	CM exclusivo
negative regulation of gene expression, epigenetic	CM exclusivo
negative regulation of small molecule metabolic process	CM exclusivo
embryonic cranial skeleton morphogenesis	CM exclusivo
response to xenobiotic stimulus	CM exclusivo
dopamine secretion	CM exclusivo
innervation	CM exclusivo
inclusion body assembly	CM exclusivo
mitochondrial calcium ion transmembrane transport	CM exclusivo
lysosomal lumen acidification	CM exclusivo
nucleolar large rRNA transcription by RNA polymerase I	CM exclusivo
positive regulation of neurotransmitter transport	CM exclusivo
renal filtration cell differentiation	CM exclusivo
podocyte differentiation	CM exclusivo
positive regulation of transferase activity	CM exclusivo
formation of primary germ layer	CM exclusivo
tissue migration	CM exclusivo
regulation of signal transduction by p53 class mediator	CM exclusivo
response to axon injury	CM exclusivo
protein monoubiquitination	CM exclusivo
hexose catabolic process	CM exclusivo
regulation of lipid metabolic process	CM exclusivo
cellular component maintenance	CM exclusivo
neural tube formation	CM exclusivo
negative regulation of synaptic transmission	CM exclusivo
negative regulation of proteasomal protein catabolic process	CM exclusivo
positive regulation of telomere maintenance	CM exclusivo
mitotic spindle assembly	CM exclusivo
autophagosome organization	CM exclusivo
rRNA transcription	CM exclusivo
tRNA methylation	CM exclusivo
negative regulation of proteasomal ubiquitin-dependent protein catabolic process	CM exclusivo
neurotrophin signaling pathway	CM exclusivo
response to acid chemical	CM exclusivo
osteoclast differentiation	CM exclusivo
regulation of circadian rhythm	CM exclusivo
positive regulation of neuron apoptotic process	CM exclusivo
mesonephric tubule morphogenesis	CM exclusivo
ventricular cardiac muscle tissue development	CM exclusivo
regulation of oxidoreductase activity	CM exclusivo
cardiac cell development	CM exclusivo
regulation of DNA biosynthetic process	CM exclusivo
response to transforming growth factor beta	CM exclusivo
epithelial to mesenchymal transition involved in endocardial cushion formation	CM exclusivo
microglia differentiation	CM exclusivo
cerebellar Purkinje cell layer formation	CM exclusivo
cellular response to potassium ion	CM exclusivo
response to L-leucine	CM exclusivo
sphingosine biosynthetic process	CM exclusivo
sphingoid biosynthetic process	CM exclusivo
calcium ion-regulated exocytosis of neurotransmitter	CM exclusivo
peripheral nervous system neuron development	CM exclusivo
neuroblast division	CM exclusivo
regulation of long-term synaptic depression	CM exclusivo
NADP metabolic process	CM exclusivo
potassium ion import across plasma membrane	CM exclusivo
negative regulation of fibroblast proliferation	CM exclusivo
mesodermal cell differentiation	CM exclusivo
phosphatidylinositol 3-kinase/protein kinase B signal transduction	CM exclusivo
gland morphogenesis	CM exclusivo
positive regulation of kinase activity	CM exclusivo
blood vessel remodeling	CM exclusivo
aldehyde metabolic process	CM exclusivo
IMP biosynthetic process	CM exclusivo
DNA alkylation repair	CM exclusivo
ER overload response	CM exclusivo
deoxyribonucleoside metabolic process	CM exclusivo
heparin proteoglycan biosynthetic process	CM exclusivo
response to histamine	CM exclusivo
elastic fiber assembly	CM exclusivo
Bergmann glial cell differentiation	CM exclusivo
ventral spinal cord interneuron fate commitment	CM exclusivo
cell fate commitment involved in pattern specification	CM exclusivo
prostate gland growth	CM exclusivo
epithelial cell proliferation involved in prostate gland development	CM exclusivo
lung secretory cell differentiation	CM exclusivo
L-aspartate transmembrane transport	CM exclusivo
positive regulation of type 2 mitophagy	CM exclusivo
negative regulation of cell-cell adhesion mediated by cadherin	CM exclusivo
negative regulation of mesenchymal cell apoptotic process	CM exclusivo
glycosphingolipid metabolic process	CM exclusivo
collagen-activated tyrosine kinase receptor signaling pathway	CM exclusivo
mesenchyme morphogenesis	CM exclusivo
regulation of action potential	CM exclusivo
protein localization to cell junction	CM exclusivo
membrane depolarization during action potential	CM exclusivo
negative regulation of telomere maintenance via telomere lengthening	CM exclusivo
cellular component assembly involved in morphogenesis	CM exclusivo
cellular anatomical entity morphogenesis	CM exclusivo
response to temperature stimulus	CM exclusivo
cardiac right ventricle morphogenesis	CM exclusivo
aspartate transmembrane transport	CM exclusivo
regulation of neurotransmitter uptake	CM exclusivo
cellular hyperosmotic response	CM exclusivo
phosphate ion transport	CM exclusivo
positive regulation of nucleotide catabolic process	CM exclusivo
positive regulation of purine nucleotide catabolic process	CM exclusivo
mitochondrial cytochrome c oxidase assembly	CM exclusivo
response to muscle stretch	CM exclusivo
purine-containing compound salvage	CM exclusivo
positive regulation of glycolytic process	CM exclusivo
glomerular epithelial cell differentiation	CM exclusivo
endocardial cushion morphogenesis	CM exclusivo
protein localization to chromosome, centromeric region	CM exclusivo
regulation of calcium ion transport	CM exclusivo
adaptive thermogenesis	CM exclusivo
regulation of proteolysis involved in protein catabolic process	CM exclusivo
nuclear membrane organization	CM exclusivo
superoxide metabolic process	CM exclusivo
regulation of actin filament length	CM exclusivo
ceramide biosynthetic process	CM exclusivo
protein destabilization	CM exclusivo
regulation of chondrocyte differentiation	CM exclusivo
response to nicotine	CM exclusivo
response to amphetamine	CM exclusivo
glandular epithelial cell differentiation	CM exclusivo
snRNA processing	CM exclusivo
anoikis	CM exclusivo
response to ischemia	CM exclusivo
nucleobase-containing compound transport	CM exclusivo
positive regulation of mitotic cell cycle	CM exclusivo
regulation of organ growth	CM exclusivo
steroid metabolic process	CM exclusivo
positive regulation of protein secretion	CM exclusivo
regulation of protein localization to cell surface	CM exclusivo
synaptic vesicle fusion to presynaptic active zone membrane	CM exclusivo
pharyngeal system development	CM exclusivo
regulation of miRNA-mediated gene silencing	CM exclusivo
cardiac left ventricle morphogenesis	CM exclusivo
pyrimidine nucleobase metabolic process	CM exclusivo
oligosaccharide catabolic process	CM exclusivo
spinal cord dorsal/ventral patterning	CM exclusivo
autophagy of peroxisome	CM exclusivo
peripheral nervous system neuron differentiation	CM exclusivo
negative regulation of lyase activity	CM exclusivo
regulation of protein complex stability	CM exclusivo
proton-transporting two-sector ATPase complex assembly	CM exclusivo
nitrogen cycle metabolic process	CM exclusivo
regulation of miRNA processing	CM exclusivo
regulation of organic acid transport	CM exclusivo
cellular response to calcium ion	CM exclusivo
exocytosis	CM exclusivo
translational elongation	CM exclusivo
negative regulation of muscle cell differentiation	CM exclusivo
neuron recognition	CM exclusivo
positive regulation of peptidyl-serine phosphorylation	CM exclusivo
semaphorin-plexin signaling pathway	CM exclusivo
regulation of embryonic development	CM exclusivo
response to heat	CM exclusivo
vascular process in circulatory system	CM exclusivo
regulation of oxidative phosphorylation	CM exclusivo
vascular associated smooth muscle contraction	CM exclusivo
corpus callosum development	CM exclusivo
regulation of dendritic spine development	CM exclusivo
muscle adaptation	CM exclusivo
tRNA wobble base modification	CM exclusivo
dosage compensation by inactivation of X chromosome	CM exclusivo
purine nucleotide salvage	CM exclusivo
regulation of integrin-mediated signaling pathway	CM exclusivo
signal transduction by p53 class mediator	CM exclusivo
regulation of heart contraction	CM exclusivo
positive regulation of cytoskeleton organization	CM exclusivo
aminoglycan metabolic process	CM exclusivo
cardiac conduction system development	CM exclusivo
positive regulation of axon extension	CM exclusivo
sequestering of calcium ion	CM exclusivo
negative regulation of protein catabolic process	CM exclusivo
response to steroid hormone	CM exclusivo
positive regulation of mitotic cell cycle phase transition	CM exclusivo
RNA 3'-end processing	CM exclusivo
negative regulation of protein polymerization	CM exclusivo
regulation of cartilage development	CM exclusivo
midgut development	CM exclusivo
UV protection	CM exclusivo
glyceraldehyde-3-phosphate metabolic process	CM exclusivo
positive regulation of catecholamine secretion	CM exclusivo
negative regulation of cell adhesion mediated by integrin	CM exclusivo
skin morphogenesis	CM exclusivo
cellular response to antibiotic	CM exclusivo
podocyte development	CM exclusivo
dense core granule cytoskeletal transport	CM exclusivo
regulation of ferroptosis	CM exclusivo
dense core granule transport	CM exclusivo
regulation of axon guidance	CM exclusivo
regulation of neuromuscular junction development	CM exclusivo
regulation of lymphoid progenitor cell differentiation	CM exclusivo
positive regulation of integrin-mediated signaling pathway	CM exclusivo
ventricular septum morphogenesis	CM exclusivo
ERBB signaling pathway	CM exclusivo
