category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Neurodegenerative disease	hsa05017	Spinocerebellar ataxia	44/1366	144/9446	0.3055555555555556	2.112941272165284	5.5333224217674175	5.182609712804005e-7	5.559526782826114e-6	3.3393529887923734e-6	VLDLR/GRIN2B/TWNK/ATXN2/ITPR1/GRIN1/RYR1/MTOR/PLCB1/PSMB1/PIK3CA/PLCB4/NOP56/GRIN2A/CACNA1A/KCNC3/CIC/PUM1/SPTBN2/ATXN1/PSMD12/ATXN3/AFG3L2/BEAN1/ATXN8OS/TBP/GRIA2/GRIA3/SLC25A4/OPA1/RBPJ/GRIN2D/RORA/PRKCG/ATXN10/MYOD1/PIK3CD/PLCB3/KCND3/DAB1/RELN/GRM1/PSMC1/PIK3R2	44
Organismal Systems	Digestive system	hsa04980	Cobalamin transport and metabolism	12/1366	18/9446	0.6666666666666666	4.610053684724256	6.303195484359514	6.362033194304558e-7	6.623999267011217e-6	3.978732833589848e-6	HCFC1/LMBRD1/MMAB/MMAA/MMUT/MTRR/MTR/TCN2/ABCD4/MMADHC/MMACHC/PRDX1	12
Organismal Systems	Nervous system	hsa04721	Synaptic vesicle cycle	29/1366	79/9446	0.3670886075949367	2.5384472820950017	5.64568385252526	7.247428674191588e-7	7.330256430468063e-6	4.402949149433687e-6	ATP6V0A2/STXBP1/CLTC/SLC18A3/SNAP25/ATP6V1A/ATP6V1E1/ATP6V1B2/CPLX1/AP2M1/SLC6A1/STX1B/DNM1/CACNA1A/SLC1A3/DNM2/SLC32A1/CACNA1B/SLC18A2/STX1A/UNC13A/SLC6A3/SLC6A9/SLC6A5/SLC1A2/SYT1/ATP6V0A1/VAMP2/CLTCL1	29
Human Diseases	Substance dependence	hsa05033	Nicotine addiction	19/1366	41/9446	0.4634146341463415	3.204549512552227	5.816383530489832	9.932790235235948e-7	9.76724373131535e-6	5.866735752975619e-6	CHRNA7/GRIN2B/GABRG2/GRIN1/GABRD/GABRA2/GRIN2A/CACNA1A/SLC32A1/GABRB1/CACNA1B/GRIA2/GRIA3/GRIA4/GABRB2/GABRA5/GRIN2D/GABRB3/GABRA1	19
Metabolism	Glycan biosynthesis and metabolism	hsa00510	N-Glycan biosynthesis	23/1366	56/9446	0.4107142857142857	2.84012235933905	5.6784338415625575	1.0449195327640193e-6	9.99733823239089e-6	6.004942976339457e-6	DPAGT1/ALG8/ALG1/STT3A/STT3B/ALG13/DOLK/B4GALT1/ALG12/MAN1B1/ALG6/DDOST/ALG11/DPM1/ALG9/SRD5A3/ALG2/MGAT2/ALG3/FUT8/MOGS/DPM2/ALG14	23
Metabolism	Global and overview maps	hsa01212	Fatty acid metabolism	23/1366	57/9446	0.40350877192982454	2.7902956512804704	5.574079589099101	1.5143869347645253e-6	1.4107709865964262e-5	8.473854870427538e-6	HADHB/HADHA/ACACA/ACADM/CPT1A/HADH/ACOX1/ACSL4/HACD1/CPT2/PPT1/ACAT1/MECR/ACAT2/ECHS1/ACADVL/ACADS/HSD17B4/ACADSB/ELOVL1/ELOVL4/CPT1C/ACSF3	23
Cellular Processes	Cellular community - eukaryotes	hsa04540	Gap junction	31/1366	92/9446	0.33695652173913043	2.3300814819530205	5.271013497822932	2.568877463442289e-6	2.331750312970693e-5	1.4005755671129348e-5	PRKG2/MAP2K1/ADCY5/MAP2K2/TUBB2B/TUBA1A/TUBB3/TUBB/ITPR1/TUBB4B/RAF1/KRAS/NRAS/SOS1/SOS2/PLCB1/TUBB4A/PLCB4/GNAI1/HRAS/ADCY6/TUBB2A/GJA1/GNAI3/PRKCG/MAPK1/TUBA8/PLCB3/PDGFRB/PDGFB/GRM1	31
Metabolism	Global and overview maps	hsa01230	Biosynthesis of amino acids	27/1366	75/9446	0.36	2.489428989751098	5.32449122608417	2.6945901692426832e-6	2.3847122997797745e-5	1.4323874057553211e-5	TKT/PRPS1/ALDH18A1/OTC/PYCR2/ACY1/PC/TPI1/ASNS/CPS1/MTR/PYCR1/IDH2/ACO2/GLUL/GPT2/ALDOA/RPIA/PSPH/PHGDH/PSAT1/PAH/NAGS/IDH1/GOT2/SHMT2/ARG1	27
Metabolism	Global and overview maps	hsa01210	2-Oxocarboxylic acid metabolism	16/1366	33/9446	0.48484848484848486	3.352766316163095	5.5666303729317415	3.415445970707616e-6	2.9489460332451125e-5	1.7712967550267996e-5	DLAT/DHTKD1/ACY1/DLD/OGDH/BCKDHA/IDH2/PDHA1/ACO2/GPT2/PDHB/NAGS/IDH1/GOT2/BCKDHB/DBT	16
Metabolism	Glycan biosynthesis and metabolism	hsa00511	Other glycan degradation	11/1366	18/9446	0.6111111111111112	4.225882544330568	5.632428230233292	6.641127833567237e-6	5.507222645130193e-5	3.30793628996818e-5	FUCA1/GBA1/NEU1/HEXB/HEXA/MAN2B1/GLB1/MAN2C1/MANBA/AGA/GBA2	11
Metabolism	Carbohydrate metabolism	hsa00520	Amino sugar and nucleotide sugar metabolism	17/1366	38/9446	0.4473684210526316	3.0935886568544353	5.316859094755894	6.724407460285096e-6	5.507222645130193e-5	3.30793628996818e-5	GFPT1/PMM2/FCSK/GCK/HEXB/HEXA/GMPPA/GMPPB/MPI/PGM3/PGM1/GALE/GALT/UGDH/GNE/UGP2/HK1	17
Human Diseases	Cancer: specific types	hsa05210	Colorectal cancer	29/1366	87/9446	0.3333333333333333	2.305026842362128	5.027881085280623	6.845135491122274e-6	5.507222645130193e-5	3.30793628996818e-5	MAP2K1/MAP2K2/APC2/DCC/MTOR/RAF1/KRAS/NRAS/SOS1/SOS2/PIK3CA/RAC1/TGFB3/MLH1/TGFBR2/MSH6/MSH2/CTNNB1/BRAF/HRAS/RALA/DDB2/TP53/SMAD4/TGFB1/APC/MAPK1/PIK3CD/PIK3R2	29
Organismal Systems	Environmental adaptation	hsa04713	Circadian entrainment	31/1366	97/9446	0.31958762886597936	2.209974189068844	4.92492979260939	8.900211425165393e-6	7.001499654463442e-5	4.2054800184407234e-5	CAMK2G/PRKG2/ADCY5/GRIN2B/CACNA1C/ITPR1/GRIN1/GNB1/CAMK2B/CAMK2A/GNB2/RYR1/CACNA1I/PLCB1/PLCB4/GNAI1/GNB5/GRIN2A/ADCY6/CACNA1D/GRIA2/KCNJ6/GRIA3/GRIA4/GRIN2D/GNAO1/GNAI3/PRKCG/MAPK1/PLCB3/CACNA1G	31
Metabolism	Carbohydrate metabolism	hsa00630	Glyoxylate and dicarboxylate metabolism	15/1366	32/9446	0.46875	3.2414439970717424	5.221994799635807	1.1678848358382666e-5	8.961727552123872e-5	5.3828990946447295e-5	GLDC/MDH2/MMUT/DLD/ACAT1/GCSH/ACO2/GLUL/ACAT2/GLYCTK/MCEE/MDH1/SHMT2/PCCA/PCCB	15
Human Diseases	Endocrine and metabolic disease	hsa04930	Type II diabetes mellitus	19/1366	47/9446	0.40425531914893614	2.7954580854178994	5.073457488080916	1.1898338840390452e-5	8.961727552123872e-5	5.3828990946447295e-5	CACNA1C/KCNJ11/GCK/PDX1/ABCC8/INS/MTOR/PIK3CA/PRKCZ/CACNA1A/CACNA1B/CACNA1D/MAPK1/PIK3CD/CACNA1G/HK1/INSR/PIK3R2/CACNA1E	19
Cellular Processes	Cell motility	hsa04820	Cytoskeleton in muscle cells	58/1366	233/9446	0.24892703862660945	1.7213505174721468	4.583998037439612	1.4615041254889075e-5	1.0778592925480693e-4	6.474206871683318e-5	MYOT/DIAPH1/ATP1A2/LMNA/FBN1/COL1A1/TNNC2/ITGA3/SPTAN1/AGRN/DAG1/COL1A2/ITGB6/LAMA2/COL5A1/COL5A2/ELN/DMD/COL11A1/ATP1A3/TPM2/ACTA1/MYL2/ITGA7/TPM3/LAMA1/AMPD1/ANK3/HSPG2/SPTBN1/SGCE/TNNT1/ACTB/COL6A2/COL6A3/MYL1/COL4A1/SYNE1/SPTBN2/LBR/FHL1/EMD/TMEM43/SYNE2/SPTBN4/AMPD2/LMNB1/FBLN1/MYH2/ACTN2/MYH7/TTN/LMOD3/FMN2/COL6A1/MYPN/NEB/COL4A2	58
Metabolism	Glycan biosynthesis and metabolism	hsa00513	Various types of N-glycan biosynthesis	18/1366	44/9446	0.4090909090909091	2.8288965792626115	4.999493554928207	1.65821362002105e-5	1.1979747377294933e-4	7.195685311369541e-5	ALG1/HEXB/STT3A/STT3B/ALG13/B4GALT1/HEXA/ALG12/MAN1B1/ST3GAL3/DDOST/ALG11/ALG9/ALG2/MGAT2/ALG3/FUT8/ALG14	18
Organismal Systems	Nervous system	hsa04728	Dopaminergic synapse	38/1366	133/9446	0.2857142857142857	1.9757372934532522	4.659449121041886	1.741706144522543e-5	1.2331279503219604e-4	7.406834551443236e-5	CAMK2G/ADCY5/GRIN2B/CACNA1C/PPP2CA/ITPR1/GNB1/CAMK2B/CAMK2A/GNB2/SCN1A/PLCB1/PLCB4/PPP3CA/GNAI1/PPP2R5D/PPP2R1A/KIF5A/COMT/GNB5/GRIN2A/CACNA1A/DDC/TH/CACNA1B/SLC18A2/PPP1CB/CACNA1D/GRIA2/KCNJ6/SLC6A3/GRIA3/KIF5C/GRIA4/GNAO1/GNAI3/PRKCG/PLCB3	38
Metabolism	Global and overview maps	hsa01250	Biosynthesis of nucleotide sugars	16/1366	37/9446	0.43243243243243246	2.990305092794112	4.9873452394052435	2.1253987687072077e-5	1.4752767923967676e-4	8.861311687902084e-5	GFPT1/PMM2/FCSK/GCK/NANS/GMPPA/GMPPB/MPI/PGM3/PGM1/GALE/GALT/UGDH/GNE/UGP2/HK1	16
Organismal Systems	Nervous system	hsa04724	Glutamatergic synapse	34/1366	116/9446	0.29310344827586204	2.0268339475942847	4.575189020916392	2.6607518491080987e-5	1.8113579895851287e-4	1.0879997439672792e-4	ADCY5/GRIN2B/CACNA1C/GLS/ITPR1/GRIN1/GNB1/GNB2/GRIK2/PLCB1/PLCB4/PPP3CA/GNAI1/GNB5/GRIN2A/CACNA1A/SLC1A3/GLUL/ADCY6/CACNA1D/GRIA2/GRIA3/GRIA4/SLC38A3/GRIN2D/SLC1A2/GNAO1/GNAI3/PRKCG/MAPK1/SHANK3/PLCB3/GRM1/GRM7	34
Organismal Systems	Endocrine system	hsa04919	Thyroid hormone signaling pathway	35/1366	122/9446	0.28688524590163933	1.983834577442815	4.496985791115179	3.363143976160261e-5	2.2463263538881743e-4	1.3492653092043154e-4	ATP1A2/MAP2K1/MAP2K2/MED12/BMP4/SIN3A/NOTCH3/SLC2A1/CREBBP/ATP1A3/EP300/MTOR/RAF1/KRAS/NRAS/PLCB1/PIK3CA/PLCB4/CTNNB1/ACTB/HRAS/MED13/MED13L/MED27/TP53/MED17/NOTCH1/MED12L/MYH7/PRKCG/MAPK1/SLC16A2/PIK3CD/PLCB3/PIK3R2	35
Human Diseases	Cancer: specific types	hsa05213	Endometrial cancer	21/1366	59/9446	0.3559322033898305	2.461299848623967	4.62937739423484	4.159628810776081e-5	2.726867775953209e-4	1.6379045219820046e-4	MAP2K1/MAP2K2/APC2/PTEN/RAF1/KRAS/NRAS/SOS1/SOS2/PIK3CA/MLH1/CTNNB1/BRAF/CTNNA2/HRAS/DDB2/TP53/APC/MAPK1/PIK3CD/PIK3R2	21
Organismal Systems	Endocrine system	hsa04911	Insulin secretion	27/1366	86/9446	0.313953488372093	2.1710136538527016	4.48532493520681	4.729135391075193e-5	3.04384350625567e-4	1.8282973186549073e-4	CAMK2G/ATP1A2/ADCY5/CACNA1C/KCNJ11/GCK/PDX1/ABCC8/INS/CACNA1S/KCNMA1/SNAP25/CAMK2B/CAMK2A/SLC2A1/ATP1A3/PLCB1/PLCB4/ADCY6/STX1A/CACNA1D/KCNN3/PRKCG/PLCB3/PCLO/KCNN2/VAMP2	27
Human Diseases	Cancer: specific types	hsa05216	Thyroid cancer	15/1366	37/9446	0.40540540540540543	2.80341102449448	4.5190224454868995	9.484732345389173e-5	5.995705804049584e-4	3.6013457401665655e-4	MAP2K1/MAP2K2/RET/KRAS/NRAS/TPM3/CTNNB1/BRAF/TPR/HRAS/PAX8/DDB2/TFG/TP53/MAPK1	15
Organismal Systems	Digestive system	hsa04977	Vitamin digestion and absorption	12/1366	26/9446	0.46153846153846156	3.191575627886023	4.600852762320924	1.0728298964536443e-4	6.662838304291054e-4	4.002061663594389e-4	CUBN/AMN/LMBRD1/SLC52A3/LRAT/BTD/SLC46A1/TCN2/ABCD4/MMACHC/SLC5A6/SLC19A3	12
Human Diseases	Cancer: specific types	hsa05214	Glioma	24/1366	76/9446	0.3157894736842105	2.183709640132542	4.259933657547895	1.1075078161252688e-4	6.759616670833537e-4	4.0601919937804774e-4	CAMK2G/MAP2K1/MAP2K2/PTEN/CAMK2B/CAMK2A/MTOR/RAF1/KRAS/NRAS/SOS1/SOS2/PIK3CA/RB1/BRAF/HRAS/DDB2/TP53/PRKCG/MAPK1/PIK3CD/PDGFRB/PDGFB/PIK3R2	24
Organismal Systems	Nervous system	hsa04726	Serotonergic synapse	32/1366	115/9446	0.2782608695652174	1.924196320580559	4.099866458541519	1.361205075022392e-4	8.083372624945249e-4	4.855311538028369e-4	MAP2K1/ADCY5/CACNA1C/CACNA1S/ITPR1/GNB1/GNB2/RAF1/KRAS/NRAS/PLCB1/PLCB4/GNAI1/GNB5/BRAF/CACNA1A/HRAS/DDC/GABRB1/CACNA1B/SLC18A2/CACNA1D/KCNJ6/APP/GABRB2/GABRB3/GNAO1/GNAI3/PRKCG/MAPK1/PLCB3/KCNN2	32
Human Diseases	Cancer: specific types	hsa05220	Chronic myeloid leukemia	24/1366	77/9446	0.3116883116883117	2.1553497746762753	4.185360560108579	1.3919158812023935e-4	8.083372624945249e-4	4.855311538028369e-4	MAP2K1/MAP2K2/CTBP1/CBL/RAF1/KRAS/NRAS/SOS1/SOS2/PTPN11/PIK3CA/RB1/TGFB3/TGFBR2/BRAF/HRAS/IKBKG/DDB2/TP53/SMAD4/TGFB1/MAPK1/PIK3CD/PIK3R2	24
Human Diseases	Substance dependence	hsa05032	Morphine addiction	27/1366	91/9446	0.2967032967032967	2.0517271893553004	4.144981076334094	1.3928975427165543e-4	8.083372624945249e-4	4.855311538028369e-4	ADCY5/GABRG2/GNB1/GNB2/GABBR1/GABRD/GNAI1/GABRA2/GNB5/CACNA1A/SLC32A1/ADCY6/GABRB1/CACNA1B/KCNJ6/GABRB2/GABRA5/GABRB3/GNAO1/GNAI3/PRKCG/PDE4D/PDE8B/GABBR2/PDE2A/PDE10A/GABRA1	27
Metabolism	Lipid metabolism	hsa00100	Steroid biosynthesis	10/1366	20/9446	0.5	3.457540263543192	4.523478937169233	1.7863113916876143e-4	0.001019926181705509	6.126229221067879e-4	SC5D/DHCR7/CYP24A1/LSS/CYP2R1/CYP27B1/EBP/LBR/DHCR24/NSDHL	10
Metabolism	Metabolism of other amino acids	hsa00410	beta-Alanine metabolism	13/1366	31/9446	0.41935483870967744	2.8998724791007415	4.356280006402393	1.8462396645435307e-4	0.00103741085912446	6.23125166646271e-4	HADHA/ALDH3A2/DPYD/ACOX1/MLYCD/HIBCH/ALDH7A1/ALDH6A1/ECHS1/ACADS/UPB1/ABAT/GAD1	13
Metabolism	Glycan biosynthesis and metabolism	hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	11/1366	24/9446	0.4583333333333333	3.1694119082479255	4.375188220085945	2.253837942378156e-4	0.0012466541118779176	7.488080005927427e-4	XYLT2/EXTL3/NDST1/B4GALT7/B3GALT6/HS2ST1/B3GAT3/EXT2/EXT1/HS6ST1/XYLT1	11
Metabolism	Metabolism of cofactors and vitamins	hsa00790	Folate biosynthesis	12/1366	28/9446	0.42857142857142855	2.9636059401798787	4.278333746839707	2.5539002408132686e-4	0.0013908933619198418	8.354459087356764e-4	PTS/DHFR/QDPR/ALPL/GCH1/TH/MOCS2/PCBD1/GPHN/PAH/MOCS1/SPR	12
NA	NA	hsa04082	Neuroactive ligand signaling	47/1366	199/9446	0.23618090452261306	1.6332099737339698	3.71188494887314	3.4662457606950646e-4	0.0018591681807364436	0.0011167171350245663	CHRNA7/ADCY5/GRIN2B/GABRG2/GRIN1/GNB1/SLC5A7/CHAT/SLC18A3/GNB2/GABBR1/SLC6A1/GRIK2/PLCB1/GABRD/PLCB4/GNAI1/GABRA2/GNB5/GRIN2A/SLC1A3/SLC32A1/TACR3/ADCY6/GABRB1/SLC18A2/GRIA2/SLC6A3/SLC6A9/GRIA3/SLC6A5/GLRB/GLRA1/GRIA4/GABRB2/GABRA5/GRIN2D/SLC1A2/GABRB3/GNAO1/GNAI3/PRKCG/PLCB3/GABBR2/GRM1/GRM7/GABRA1	47
Metabolism	Amino acid metabolism	hsa00250	Alanine, aspartate and glutamate metabolism	14/1366	37/9446	0.3783783783783784	2.616516956194848	4.0506996515685545	3.8090425984878333e-4	0.0020125389251711835	0.0012088399134242615	GFPT1/GLS/ALDH5A1/CAD/ASPA/ASNS/CPS1/GLUL/GPT2/ADSL/ABAT/GAD1/NAT8L/GOT2	14
Human Diseases	Cancer: specific types	hsa05223	Non-small cell lung cancer	22/1366	73/9446	0.3013698630136986	2.0839968711767183	3.8227051411152946	4.4232062077565186e-4	0.0023026691140379525	0.0013831078234780446	MAP2K1/MAP2K2/STAT3/RET/RAF1/KRAS/NRAS/SOS1/SOS2/PIK3CA/RARB/RB1/KIF5A/BRAF/HRAS/DDB2/TP53/KIF5C/PRKCG/MAPK1/PIK3CD/PIK3R2	22
Metabolism	Lipid metabolism	hsa00600	Sphingolipid metabolism	18/1366	55/9446	0.32727272727272727	2.263117263410089	3.8626890255752717	4.7946908630747793e-4	0.0024598848775774953	0.0014775401286668275	GBA1/PSAP/NEU1/HEXB/SMPD4/HEXA/SMPD1/GALC/GLB1/ARSA/GM2A/DEGS1/GBA2/SPTLC1/SGPL1/B4GALNT1/ACER3/ASAH1	18
Human Diseases	Substance dependence	hsa05031	Amphetamine addiction	21/1366	69/9446	0.30434782608695654	2.1045897256349866	3.7862931616478646	5.115256535381602e-4	0.002560187209544862	0.0015377871434078566	CAMK2G/ADCY5/GRIN2B/CACNA1C/GRIN1/CAMK2B/CAMK2A/PPP3CA/GRIN2A/DDC/TH/SLC18A2/STX1A/PPP1CB/CACNA1D/GRIA2/SLC6A3/GRIA3/GRIA4/GRIN2D/PRKCG	21
Human Diseases	Cancer: specific types	hsa05225	Hepatocellular carcinoma	41/1366	170/9446	0.2411764705882353	1.6677547153561276	3.6122824788379404	5.134838753606927e-4	0.002560187209544862	0.0015377871434078566	SMARCD1/MAP2K1/MAP2K2/SMARCC2/APC2/PTEN/IGF2/ARID1B/SMARCA2/MTOR/RAF1/KRAS/NRAS/SOS1/SOS2/ARID1A/SMARCB1/SMARCA4/PIK3CA/WNT7B/RB1/TGFB3/TGFBR2/CTNNB1/LRP5/BRAF/ACTB/HRAS/ACTL6B/DDB2/TP53/SMAD4/TERT/TGFB1/APC/PRKCG/MAPK1/ARID2/PIK3CD/PIK3R2/SMARCE1	41
Environmental Information Processing	Signal transduction	hsa04024	cAMP signaling pathway	51/1366	226/9446	0.22566371681415928	1.5604827738115288	3.5064825239605746	6.25989055615287e-4	0.0030777795234418277	0.001848681129156257	CAMK2G/ATP1A2/TSHR/TSHB/MAP2K1/ADCY5/MAP2K2/GRIN2B/CACNA1C/RAP1B/CACNA1S/ATP2B3/GRIN1/ACOX1/RRAS2/CAMK2B/CAMK2A/GABBR1/EDN3/BDNF/CREBBP/ATP1A3/EP300/RRAS/RAF1/PTCH1/PIK3CA/ATP2B1/RAC1/GNAI1/BRAF/SOX9/ORAI1/GRIN2A/ADCY6/PPP1CB/CACNA1D/GRIA2/GRIA3/GRIA4/GRIN2D/PAK1/EDN1/GNAI3/MAPK1/PDE4D/PIK3CD/GABBR2/PDE10A/TIAM1/PIK3R2	51
Environmental Information Processing	Signal transduction	hsa04014	Ras signaling pathway	53/1366	238/9446	0.22268907563025211	1.5399128904856234	3.4685676562338514	6.891141254647257e-4	0.003341731512527574	0.0020072249941438295	FGFR3/MAP2K1/MAP2K2/RALGAPA1/GRIN2B/RAP1B/INS/SYNGAP1/NTRK2/GRIN1/GNB1/RRAS2/GNB2/IGF2/BDNF/RRAS/RAF1/MRAS/KRAS/NRAS/SOS1/SOS2/PTPN11/RASA2/PIK3CA/KIT/RAC1/GNB5/GRIN2A/PAK3/PLA2G6/HRAS/NF1/IKBKG/FGFR1/FGF8/FGF17/RALA/CSF1R/TBK1/SHOC2/PAK1/PRKCG/MAPK1/CDC42/PIK3CD/PDGFRB/PDGFB/PLAAT3/EXOC2/TIAM1/INSR/PIK3R2	53
Metabolism	Amino acid metabolism	hsa00220	Arginine biosynthesis	10/1366	23/9446	0.43478260869565216	3.006556750907123	3.96133362275427	7.314793017237939e-4	0.003499238821759771	0.0021018324174709294	GLS/CAD/OTC/ACY1/CPS1/GLUL/GPT2/NAGS/GOT2/ARG1	10
Metabolism	Carbohydrate metabolism	hsa00650	Butanoate metabolism	11/1366	27/9446	0.4074074074074074	2.8172550295537118	3.8879083038451543	7.763038407652193e-4	0.0036641541284118347	0.002200889485397534	HMGCL/ALDH5A1/HADHA/HADH/ACAT1/ACAT2/ECHS1/L2HGDH/ACADS/ABAT/GAD1	11
Human Diseases	Cancer: specific types	hsa05215	Prostate cancer	28/1366	106/9446	0.2641509433962264	1.826625044890743	3.5189144143842737	8.657801184945288e-4	0.004009657664387943	0.0024084176277322763	MAP2K1/MAP2K2/INS/PTEN/CREBBP/EP300/MTOR/RAF1/KRAS/NRAS/SOS1/SOS2/PIK3CA/RB1/CTNNB1/BRAF/SLC46A1/HRAS/IKBKG/AR/FGFR1/TP53/MAPK1/PIK3CD/PDGFRB/PDGFB/GRM1/PIK3R2	28
Organismal Systems	Endocrine system	hsa04916	Melanogenesis	27/1366	101/9446	0.26732673267326734	1.8485858834785382	3.525230243118431	8.721571755872079e-4	0.004009657664387943	0.0024084176277322763	CAMK2G/MAP2K1/ADCY5/MAP2K2/MITF/CAMK2B/CAMK2A/CREBBP/EP300/RAF1/KRAS/NRAS/PLCB1/WNT7B/PLCB4/KIT/GNAI1/CTNNB1/EDNRB/HRAS/ADCY6/GNAO1/EDN1/GNAI3/PRKCG/MAPK1/PLCB3	27
Human Diseases	Cancer: specific types	hsa05212	Pancreatic cancer	22/1366	77/9446	0.2857142857142857	1.9757372934532522	3.5346978677436476	9.868969936830628e-4	0.0044789940482539	0.0026903264875030863	MAP2K1/STAT3/MTOR/RAF1/KRAS/PIK3CA/RB1/RAC1/TGFB3/TGFBR2/BRAF/BRCA2/IKBKG/RALA/DDB2/TP53/SMAD4/TGFB1/MAPK1/CDC42/PIK3CD/PIK3R2	22
Human Diseases	Infectious disease: viral	hsa05165	Human papillomavirus infection	69/1366	333/9446	0.2072072072072072	1.432854523630512	3.3063897244899096	0.0010023968070086715	0.004491752780773034	0.0026979900734943585	MAP2K1/MAP2K2/PPP2CA/COL1A1/APC2/ATP6V0A2/ITGA3/JAG1/NOTCH3/LAMB2/ATP6V1A/ATP6V1E1/COL1A2/PTEN/ITGB6/ATP6V1B2/LAMA2/UBE3A/LAMB1/CREBBP/EP300/DLG3/MTOR/RAF1/KRAS/NRAS/SOS1/SOS2/ITGA7/PIK3CA/LAMA1/WNT7B/RB1/PPP2R5D/PPP2R1A/PRKCZ/CTNNB1/ATP6AP1/TNXB/HRAS/ATM/EIF2AK2/COL6A2/COL6A3/IKBKG/COL4A1/CHD4/COL2A1/TBP/TBK1/TP53/PSEN1/TERT/RBPJ/NOTCH1/APC/COL6A1/MAPK1/CDC42/RBL2/PIK3CD/PDGFRB/ATP6V0A1/TUBG1/COL4A2/RELN/PSMC1/TNR/PIK3R2	69
Human Diseases	Cancer: overview	hsa05205	Proteoglycans in cancer	46/1366	204/9446	0.22549019607843138	1.5592828639508511	3.3203530560987886	0.0011497873777170863	0.005060706761593018	0.003039734659059737	CAMK2G/MAP2K1/MAP2K2/GPC3/STAT3/COL1A1/ITPR1/COL1A2/RRAS2/CAMK2B/CAMK2A/IGF2/MTOR/CBL/RRAS/RAF1/MRAS/KRAS/NRAS/SOS1/SOS2/PTPN11/PTCH1/PIK3CA/WNT7B/RAC1/ANK3/HSPG2/CTNNB1/BRAF/ACTB/HRAS/FGFR1/PPP1CB/ERBB4/TP53/TGFB1/PAK1/SHH/FLNA/PRKCG/MAPK1/CDC42/PIK3CD/TIAM1/PIK3R2	46
Human Diseases	Cancer: specific types	hsa05218	Melanoma	21/1366	73/9446	0.2876712328767123	1.9892697406686857	3.4886507739628616	0.001157958326805182	0.005060706761593018	0.003039734659059737	MAP2K1/MAP2K2/PTEN/MITF/RAF1/KRAS/NRAS/PIK3CA/RB1/BRAF/HRAS/FGFR1/FGF8/FGF17/DDB2/TP53/MAPK1/PIK3CD/PDGFRB/PDGFB/PIK3R2	21
Organismal Systems	Endocrine system	hsa04926	Relaxin signaling pathway	32/1366	130/9446	0.24615384615384617	1.7021736682058792	3.314531310095831	0.0014132522279249602	0.006101113276651658	0.0036646591789581766	MAP2K1/ADCY5/MAP2K2/COL1A1/GNB1/COL1A2/GNB2/RAF1/KRAS/NRAS/SOS1/SOS2/PLCB1/PIK3CA/PLCB4/TGFBR2/GNAI1/PRKCZ/GNB5/EDNRB/HRAS/ADCY6/COL4A1/TGFB1/GNAO1/EDN1/GNAI3/MAPK1/PIK3CD/PLCB3/COL4A2/PIK3R2	32
Metabolism	Glycan biosynthesis and metabolism	hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	9/1366	21/9446	0.42857142857142855	2.9636059401798787	3.703769538882365	0.0015292207801104072	0.006522218748904628	0.003917597940168703	DSE/XYLT2/B4GALT7/B3GALT6/CHST14/CHST3/B3GAT3/CSGALNACT1/XYLT1	9
Cellular Processes	Transport and catabolism	hsa04137	Mitophagy - animal	27/1366	105/9446	0.2571428571428571	1.7781635641079272	3.296776500881309	0.001637981182046311	0.006902920695766596	0.0041462681550545714	TOMM7/CSNK2A1/RRAS2/MITF/RRAS/MRAS/KRAS/NRAS/HRAS/TFE3/PINK1/PRKN/VCP/SQSTM1/TBK1/OPTN/TP53/TOMM40/EIF2AK3/MFN2/OPA1/MTX2/HUWE1/CSNK2B/USP8/AMFR/SIAH1	27
Metabolism	Carbohydrate metabolism	hsa00620	Pyruvate metabolism	15/1366	47/9446	0.3191489361702128	2.2069405937509736	3.4104732618191234	0.0018496621490809199	0.00770329883264289	0.004627018626803044	ACACA/ALDH3A2/DLAT/MDH2/ALDH7A1/PC/DLD/ACAT1/PDHA1/ACAT2/FH/PDHB/MDH1/LDHA/ADH1C	15
Environmental Information Processing	Signal transduction	hsa04010	MAPK signaling pathway	62/1366	300/9446	0.20666666666666667	1.4291166422645194	3.1055679579576463	0.0018888021772884597	0.0077748368693036606	0.004669988247396192	FGFR3/MAP2K1/MAP2K2/MEF2C/CACNA1C/RAP1B/INS/CACNA1S/CACNA2D1/RET/NTRK2/RRAS2/IGF2/GDNF/BDNF/TAOK1/RPS6KA3/CACNA1I/RRAS/RAF1/MRAS/KRAS/NRAS/SOS1/SOS2/RASA2/MAP3K20/PPP3CA/KIT/PPM1B/RAC1/TGFB3/TGFBR2/BRAF/MAP3K7/CACNA1A/HRAS/NF1/IKBKG/MAPK8IP3/FGFR1/FGF8/DUSP6/FGF17/CACNA1B/CACNA1D/CSF1R/ERBB4/TP53/CACNA2D2/TGFB1/PAK1/FLNA/PRKCG/MAPK1/CDC42/MAPT/PDGFRB/PDGFB/CACNA1G/INSR/CACNA1E	62
